freq,stk_flow,sitc06,currency,partner,geo\TIME_PERIOD	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,EXP,AER,MIO_EUR,INT_EU27_2020,EE	8.85 	3.965 	1.096 	0.011 	0.611 	0.134 	0.361 	0.615 	2.163 	0.693 	9.51 	0.798 	7.99 	3.748 	5.146 	5.763 
A,EXP,AER,MIO_EUR,INT_EU27_2020,EL	5.584 	6.454 	9.076 	23.532 	9.71 	8.841 	6.459 	4.017 	2.383 	8.039 	38.359 	2.239 	18.499 	60.134 	19.056 	2.505 
A,EXP,AER,MIO_EUR,INT_EU27_2020,ES	468.501 	235.379 	356.241 	393.32 	394.09 	649.431 	506.34 	109.876 	272.014 	1120.247 	1773.296 	1613.411 	1667.318 	2020.195 	1872.3 	2561.276 
A,EXP,AER,MIO_EUR,INT_EU27_2020,EU27_2020	22967.729 	24951.626 	27159.642 	29739.672 	31033.861 	36088.958 	35052.052 	33375.79 	36790.983 	37389.039 	33406.884 	28837.955 	32160.874 	20852.352 	16191.101 	20705.267 
A,EXP,AER,MIO_EUR,INT_EU27_2020,FI	42.376 	36.188 	40.392 	53.335 	22.604 	67.405 	129.375 	100.411 	463.761 	171.133 	267.557 	7.965 	7.5 	132.762 	398.539 	18.344 
A,EXP,AER,MIO_EUR,INT_EU27_2020,FR	10997.438 	12570.463 	14438.593 	15811.079 	14307.263 	16728.837 	16329.709 	17048.77 	17818.81 	18294.032 	12130.807 	12054.697 	13709.43 	8801.783 	6781.039 	8826.208 
A,EXP,AER,MIO_EUR,INT_EU27_2020,HR	8.41 	22.555 	16.926 	56.419 	16.395 	33.745 	31.577 	10.217 	12.377 	17.102 	25.043 	21.95 	12.31 	6.473 	5.052 	4.745 
A,EXP,AER,MIO_EUR,INT_EU27_2020,HU	2.835 	4.67 	7.862 	5.719 	10.319 	18.723 	19.746 	35.062 	43.17 	48.373 	56.94 	60.738 	30.89 	11.463 	12.842 	22.373 
A,EXP,AER,MIO_EUR,INT_EU27_2020,IE	5.9 	17.783 	21.866 	326.198 	963.579 	786.634 	812.088 	983.32 	2054.834 	1988.125 	2661.998 	602.638 	579.483 	638.261 	30.31 	79.903 
A,EXP,AER,MIO_EUR,INT_EU27_2020,IS	255.923 	0.578 	85.271 	2.865 	42.868 	4.945 	0.66 	3.625 	0.918 	2.748 	0.861 	1.624 	0.862 	0.932 	24.565 	7.781 
A,EXP,AER,MIO_EUR,INT_EU27_2020,IT	650.675 	506.239 	351.818 	689.915 	787.517 	662.578 	548.712 	687.28 	543.519 	716.147 	734.274 	757.502 	433.062 	299.525 	257.569 	364.195 
A,EXP,AER,MIO_EUR,INT_EU27_2020,LT	1.658 	1.111 	2.447 	2.232 	2.833 	3.029 	0.596 	1.78 	2.727 	3.31 	5.134 	6.54 	9.852 	8.231 	8.634 	39.931 
A,EXP,AER,MIO_EUR,INT_EU27_2020,LU	14.914 	50.152 	38.989 	6.877 	29.729 	3.144 	24.34 	11.111 	5.236 	6.855 	8.399 	1.166 	2.432 	3.735 	14.07 	36.315 
A,EXP,AER,MIO_EUR,INT_EU27_2020,LV	0.067 	2.456 	8.986 	2.479 	3.457 	3.612 	3.648 	1.995 	4.59 	8.779 	52.143 	26.876 	30.365 	24.919 	5.693 	6.756 
A,EXP,AER,MIO_EUR,INT_EU27_2020,MT	1.711 	2.037 	1.659 	1.122 	0.675 	0.688 	0.003 	1.255 	4.225 	0.213 	0.17 	0.877 	1.374 	22.011 	29.536 	1.44 
A,EXP,AER,MIO_EUR,INT_EU27_2020,NL	165.937 	237.874 	134.499 	173.192 	237.156 	233.608 	304.58 	413.616 	595.564 	670.902 	757.416 	920.715 	918.435 	414.299 	451.092 	606.969 
A,EXP,AER,MIO_EUR,INT_EU27_2020,NO	225.724 	217.805 	199.889 	139.58 	122.491 	124.166 	119.398 	131.339 	105.517 	214.364 	50.895 	77.846 	103.683 	65.086 	133.097 	95.563 
A,EXP,AER,MIO_EUR,INT_EU27_2020,PL	23.77 	40.21 	84.528 	143.93 	96.798 	141.132 	161.062 	207.957 	321.595 	401.367 	562.216 	480.765 	584.877 	223.759 	561.22 	365.231 
A,EXP,AER,MIO_EUR,INT_EU27_2020,PT	34.106 	90.875 	0.45 	26.447 	2.643 	4.738 	10.582 	0.994 	2.992 	113.768 	45.016 	3.329 	104.49 	109.571 	43.942 	99.613 
A,EXP,AER,MIO_EUR,INT_EU27_2020,RO	1.937 	5.47 	6.479 	6.956 	4.462 	10.672 	21.902 	11.695 	34.244 	18.512 	20.006 	14.251 	24.624 	12.929 	17.786 	23.779 
A,EXP,AER,MIO_EUR,INT_EU27_2020,SE	115.938 	63.24 	73.452 	77.09 	80.127 	89.133 	120.598 	87.996 	184.117 	204.383 	86.196 	53.776 	93.623 	59.745 	40.873 	38.798 
A,EXP,AER,MIO_EUR,INT_EU27_2020,SI	15.79 	19.342 	26.411 	4.549 	5.408 	8.938 	9.4 	6.527 	7.801 	8.337 	10.994 	11.201 	7.416 	11.726 	15.972 	14.112 
A,EXP,AER,MIO_EUR,INT_EU27_2020,SK	11.351 	5.295 	3.66 	8.078 	4.433 	12 	4.234 	3.002 	4.973 	6.47 	5.138 	10.345 	6.449 	7.357 	7.347 	8.419 
A,EXP,AER,MIO_EUR,WORLD,AT	552.613 	347.849 	216.599 	470.599 	346.628 	677.534 	1096.809 	463.046 	460.535 	554.654 	769.381 	583.725 	557.828 	373.894 	464.739 	574.5 
A,EXP,AER,MIO_EUR,WORLD,BE	454.057 	506.665 	750.105 	776.745 	552.438 	676.743 	873.03 	916.544 	1280.845 	1048.762 	1246.183 	1456.769 	1502.981 	834.61 	901.793 	1213.337 
A,EXP,AER,MIO_EUR,WORLD,BG	13.914 	28.878 	47.012 	7.711 	15.098 	39.9 	19.064 	8.169 	6.912 	2.225 	39.505 	18.148 	38.054 	33.311 	32.964 	35.378 
A,EXP,AER,MIO_EUR,WORLD,CH	1278.458 	217.907 	125.585 	146.271 	141.632 	147.051 	131.014 	151.866 	1488.091 	1170.002 	1529.692 	1234.992 	1577.932 	1163.671 	1401.017 	1528.502 
A,EXP,AER,MIO_EUR,WORLD,CY	0.096 	1.823 	8.359 	11.721 	26.626 	23.57 	159.344 	1.44 	161.499 	2.872 	95.499 	143.102 	0.429 	21.652 	35.559 	50.347 
A,EXP,AER,MIO_EUR,WORLD,CZ	547.83 	488.366 	515.049 	367.237 	353.594 	392.271 	484.169 	436.12 	454.984 	495.035 	730.657 	602.449 	643.707 	499.722 	497.938 	694.793 
A,EXP,AER,MIO_EUR,WORLD,DE	17865.905 	19267.937 	20699.865 	22567.776 	25662.085 	32452.369 	32479.655 	30592.448 	37028.222 	38572.691 	35827.686 	36625.993 	41524.086 	26318.953 	22508.409 	25933.423 
A,EXP,AER,MIO_EUR,WORLD,DK	175.73 	153.465 	144.038 	125.883 	153.162 	150.52 	191.298 	168.764 	260.843 	188.66 	210.302 	153.195 	70.334 	97.204 	125.598 	157.164 
A,EXP,AER,MIO_EUR,WORLD,EE	11.797 	7.472 	6.954 	0.403 	5.483 	1.571 	5.394 	5.598 	7.982 	20.536 	26.628 	22.955 	29.699 	22.943 	31.122 	30.175 
A,EXP,AER,MIO_EUR,WORLD,EL	34.565 	219.302 	709.098 	254.794 	145.841 	20.576 	29.203 	15.047 	9.014 	12.087 	45.885 	13.126 	23.261 	90.267 	39.703 	7.736 
A,EXP,AER,MIO_EUR,WORLD,ES	1564.157 	1358.114 	1392.087 	1464.531 	1786.551 	1960.58 	3770.593 	2360.205 	2538.278 	4130.911 	4298.731 	3612.252 	4406.006 	3496.092 	3360.844 	5035.889 
A,EXP,AER,MIO_EUR,WORLD,EU27_2020	56032.935 	62711.755 	63453.709 	72159.059 	75421.717 	89975.274 	93724.358 	91345.735 	107797.756 	111561.702 	110331.254 	110595.854 	121728.531 	74516.773 	74247.81 	88344.975 
A,EXP,AER,MIO_EUR,WORLD,FI	108.499 	146.493 	123.068 	338.681 	82.639 	160.842 	245.078 	321.898 	545.426 	229.814 	326.743 	83.08 	186.536 	382.668 	538.284 	183.244 
A,EXP,AER,MIO_EUR,WORLD,FR	29714.833 	34244.419 	32798.081 	38854.289 	38720.849 	45638.433 	45841.238 	47096.313 	52586.796 	52400.169 	50516.751 	51435.04 	57263.775 	30844.505 	33430.599 	40627.805 
A,EXP,AER,MIO_EUR,WORLD,HR	9.845 	31.466 	19.745 	57.003 	22.739 	34.081 	32.24 	10.587 	21.088 	18.277 	28.053 	23.649 	25.582 	7.458 	10.684 	10.74 
A,EXP,AER,MIO_EUR,WORLD,HU	9.841 	25.264 	56.895 	43.292 	74.175 	53.635 	58.557 	74.178 	67.124 	79.345 	98.563 	91.435 	64.194 	29.581 	46.186 	67.256 
A,EXP,AER,MIO_EUR,WORLD,IE	186.202 	270.969 	638.263 	893.086 	1653.318 	1598.863 	1746.31 	2345.635 	5330.56 	5835.143 	6276.344 	5056.361 	4673.453 	4063.31 	3542.998 	2959.364 
A,EXP,AER,MIO_EUR,WORLD,IS	508.428 	239.717 	143.826 	47.271 	48.557 	5.608 	3.11 	7.563 	3.634 	11.873 	7.406 	2.99 	139.169 	9.555 	33.044 	12.069 
A,EXP,AER,MIO_EUR,WORLD,IT	2215.76 	2521.379 	2319.004 	2511.344 	2667.695 	2688.288 	2671.294 	2848.679 	2924.834 	2741.414 	2778.828 	2996.479 	2172.993 	1554.831 	1550.76 	1705.261 
A,EXP,AER,MIO_EUR,WORLD,LT	27.071 	84.251 	23.069 	10.938 	21.951 	51.045 	28.298 	14.386 	19.634 	29.125 	50.712 	36.738 	32.941 	42.665 	52.658 	135.814 
A,EXP,AER,MIO_EUR,WORLD,LU	121.57 	127.012 	294.851 	96.038 	215.139 	146.068 	112.16 	23.163 	105.105 	104.559 	83.83 	57.181 	80.262 	43.568 	125.736 	154.248 
A,EXP,AER,MIO_EUR,WORLD,LV	0.642 	3.368 	9.139 	4.01 	8.772 	12.104 	7.587 	8.235 	6.677 	15.355 	156.893 	396.512 	43.777 	76.41 	29.069 	37.525 
A,EXP,AER,MIO_EUR,WORLD,MT	5.92 	5.37 	9.168 	6.288 	37.439 	62.1 	1.034 	21.914 	7.03 	3.337 	2.385 	3.599 	33.005 	46.55 	35.391 	4.411 
A,EXP,AER,MIO_EUR,WORLD,NL	1339.407 	1619.361 	1472.589 	1564.031 	1371.265 	1392.91 	1643.161 	1580.451 	1567.095 	2195.386 	3363.665 	3778.891 	3941.361 	2609.553 	2824.346 	3587.517 
